filename,caption
00401.JPG,a image of a concrete wall with visible crack horizontally on the bottom of the image
00402.JPG,a image of a concrete wall with visible crack horizontally on the bottom of the image
00403.JPG,a concrete wall with large area of efflorescence and large vertical cracks repaired running from top to bottom
00404.JPG,a concrete wall with multi cables running across the concrete wall horizontally with white chalk marked crack damage position
00405.JPG,"an image of concrete wall with visible holes, rough patches and textures. a pipe horizontal across the image, with cables running horizontally on the concrete wall. a cable pipe vertical across the surface"
00406.JPG,"a concrete wall with a small area of water erosion, with cables running horizontally across the concrete wall, with a pipe in the middle of the image, with a pipe in front of the concrete wall"
00407.JPG,a concrete wall with large area of efflorescence and large vertical cracks repaired running from top to bottom
00408.JPG,"a concrete wall with a rectangular outline and chalk markings indicating specific areas. horizontal metal brackets are visible above the chalk outline, with yellow chalk marking damage area. a bracket with cables run across the top."
00409.JPG,"a concrete wall with a rectangular outline and yellow chalk marking the crack position. a bracket with words describe the crack size, the concrete wall surface with rough texture"
00410.JPG,a small area of efflorescence and crack on the concrete wall with multi cables run horizontally on the concrete wall
00411.JPG,a concrete wall with large area of efflorescence and large vertical cracks repaired running from top to bottom
00412.JPG,"a concrete wall with yellow chalk marking the crack position and words describe the crack size, with a pipe vertical across the image, with the concrete wall surface falling off and a pipe in front of the concrete wall"
00413.JPG,"concrete wall with a vertical streak of rough texture and some cracks. horizontal cables are secured to the wall, with a nameplate on the upper left of the image"
00414.JPG,"a concrete wall with several chalk markings. in the center of the image, there are some handwritten notes in chalk, with metal brackets on the right side of the image, with bundle of the concrete wall"
00415.JPG,"an image of concrete wall, with yellow chalk marked vertically on the concrete wall, with some letter written next to it, with cable and pipe running horizontally on the concrete wall. a cable and pipe is supported by rectangular shaped bracket"
00416.JPG,"a concrete wall with vertical crack running from top to bottom, with small area of efflorescence on the bottom right of the image, with the concrete cracked exposing the rebar inside, the concrete wall falling off and areas of water erosion around the exposed rebar"
00417.JPG,an image of concrete wall with rough patches with a cable running horizontally across the concrete wall
00418.JPG,"a flashing light shinning on the rectangular - shaped concrete column, with a nameplate on the cilling of the concrete wall, with a pipe on the under left of the image"
