filename,caption
00401.JPG,a large area of efflorescence on the concrete with visible crack running horizontally on the concrete wall
00402.JPG,a large area of efflorescence on the concrete with visible crack running horizontally on the concrete wall
00403.JPG,"a concrete wall with large area of efflorescence and water erosion with white chalk marked vertically on the concrete wall, with some letter written next to the marked chalk, with white chalk postion"
00404.JPG,a concrete wall with multi repaired patches with cable pipes and multi wires running horizontally across the concrete wall
00405.JPG,"concrete wall with vertical repaired patches. horizontal cables run along the top of the image, with a white nameplate on the right side of the image, with a pipe on the right side of the image"
00406.JPG,"concrete wall with yellow chalk marking damage area. a bracket with cables run horizontally across the concrete wall, with words describe the damage size and type on the left side of the image"
00407.JPG,"a concrete wall with large area of efflorescence and water erosion, with a white chalk marked vertically, horizontally on the concrete wall"
00408.JPG,concrete wall with a rectangular outline and yellow chalk marking the damage area. a small section of the wall has discoloration and rough patches. horizontal bracket with cables run across the middle of the image.
00409.JPG,"concrete wall with visible horizontal cables and metal pipe. some surface discoloration, yellow chalk check crank position and describe the damage, with rough texture on the concrete wall surface"
00410.JPG,a concrete wall with multi cables running across the concrete wall horizontally with white chalk marked vertically
00411.JPG,a concrete wall with large area of efflorescence and large vertical cracks repaired running from top to bottom
00412.JPG,"a concrete wall with signs of wear, discoloration, and visible textures. with a pipe in the middle of the image, with a efflorescence on the upper right side of the image"
00413.JPG,"a concrete wall with visible rough textures and stains. a pipe is running horizontally across the image, with visible the concrete wall surface falling off. horizontal cables are secured to the wall near the bottom of the bottom."
00414.JPG,concrete wall with a visible horizontal metal bracket and cables running across the upper section. a small section of the wall has discoloration and rough textures on the upper left of the image
00415.JPG,"an image of concrete wall, with yellow chalk marked vertically on the concrete wall, with some letter written next to it, with cable and pipe running horizontally on the concrete wall. a cable and pipe is supported by rectangular shaped bracket"
00416.JPG,"a concrete wall with visible cracks and rough texture, with the concrete wall surface falling off"
00417.JPG,"an image of the concrete wall with area of water erosion, the concrete wall surface visible rough texture, right side of the image two walls connect and a crack on the surface"
00418.JPG,"a concrete wall with large area of water erosion and efflorescence, with a blue pipe runs through the right corner of the image, with a pipe coming down from the cilling to the concrete wall"
